timeframe,date,open,high,low,close,volume,peak_or_valley,strength
1min,2017-12-30 14:45:00,12587.67,12669.97,12587.15,12669.91,7.64938406,valley,0 days 00:04:00
15min,2017-12-30 14:49:00,12780.0,12871.15,12780.0,12806.81,40.37903512,peak,0 days 00:32:00
5min,2017-12-30 14:52:00,12801.0,12801.0,12650.03,12700.0,25.16538243,valley,0 days 00:05:00
1min,2017-12-30 14:56:00,12695.87,12763.51,12691.0,12760.0,4.41279644,valley,0 days 00:02:00
1min,2017-12-30 14:59:00,12690.56,12750.0,12664.65,12729.65,6.49856502,valley,0 days 00:04:00
5min,2017-12-30 15:03:00,12699.99,12699.99,12621.0,12672.07,12.8860012,valley,0 days 00:05:00
1min,2017-12-30 15:06:00,12692.85,12719.69,12643.08,12674.19,13.17974618,peak,0 days 00:04:00
1min,2017-12-30 15:09:00,12619.98,12649.98,12585.13,12599.99,15.17439898,valley,0 days 00:02:00
15min,2017-12-30 15:11:00,12600.0,12620.88,12580.0,12619.96,23.85125994,valley,0 days 00:27:00
1min,2017-12-30 15:13:00,12676.11,12727.96,12600.06,12701.95,22.87981595,peak,0 days 00:02:00
5min,2017-12-30 15:20:00,12741.03,12784.34,12720.02,12760.0,13.64940608,peak,0 days 00:12:00
1min,2017-12-30 15:22:00,12678.22,12700.3,12655.03,12655.27,8.5416722,valley,0 days 00:04:00
1min,2017-12-30 15:23:00,12689.98,12733.36,12655.24,12733.13,10.58032331,peak,0 days 00:02:00
5min,2017-12-30 15:26:00,12660.02,12689.52,12637.04,12679.16,4.77817332,valley,0 days 00:11:00
15min,2017-12-30 15:32:00,12774.99,12789.48,12734.15,12789.4,8.71214384,peak,0 days 00:39:00
1min,2017-12-30 15:40:00,12601.47,12617.31,12538.78,12568.54,21.05604956,peak,0 days 00:02:00
1min,2017-12-30 15:43:00,12522.41,12536.0,12491.21,12536.0,41.25476261,valley,0 days 00:04:00
5min,2017-12-30 15:46:00,12555.0,12600.0,12542.87,12578.58,9.16654328,peak,0 days 00:05:00
15min,2017-12-30 15:48:00,12546.2,12574.71,12466.25,12566.06,13.09675324,valley,0 days 00:16:00
1min,2017-12-30 15:51:00,12548.48,12668.2,12531.1,12592.46,28.15828986,peak,0 days 00:03:00
1min,2017-12-30 15:54:00,12627.53,12668.98,12600.0,12651.31,8.99015703,peak,0 days 00:03:00
15min,2017-12-30 15:58:00,12699.88,12700.0,12673.81,12675.2,11.25074892,peak,0 days 00:23:00
1min,2017-12-30 16:03:00,12549.36,12601.94,12538.52,12574.88,7.41980895,peak,0 days 00:02:00
15min,2017-12-30 16:04:00,12538.97,12558.44,12460.06,12526.69,35.88300094,valley,0 days 00:28:00
1min,2017-12-30 16:06:00,12500.08,12589.24,12500.02,12520.07,9.01422025,valley,0 days 00:02:00
5min,2017-12-30 16:07:00,12520.07,12621.16,12520.05,12621.15,6.58611517,peak,0 days 00:06:00
1min,2017-12-30 16:08:00,12550.45,12621.13,12485.04,12539.7,12.53429457,valley,0 days 00:02:00
1min,2017-12-30 16:11:00,12538.69,12570.01,12463.72,12519.37,12.08058524,peak,0 days 00:03:00
5min,2017-12-30 16:11:00,12538.69,12570.01,12463.72,12519.37,12.08058524,valley,0 days 00:07:00
5min,2017-12-30 16:16:00,12598.73,12690.73,12566.48,12666.22,15.42524309,peak,0 days 00:05:00
1min,2017-12-30 16:20:00,12605.0,12620.65,12591.93,12600.72,8.27740412,valley,0 days 00:04:00
15min,2017-12-30 16:21:00,12600.72,12698.82,12600.69,12610.37,35.97581448,peak,0 days 00:21:00
1min,2017-12-30 16:27:00,12508.69,12571.71,12475.72,12500.38,20.63591579,valley,0 days 00:04:00
1min,2017-12-30 16:31:00,12535.98,12549.31,12465.55,12548.35,6.6082104,peak,0 days 00:03:00
1min,2017-12-30 16:32:00,12548.25,12548.25,12458.33,12528.63,29.91182241,valley,0 days 00:03:00
1min,2017-12-30 16:39:00,12200.0,12229.35,12126.39,12229.35,43.62613665,valley,0 days 00:02:00
1min,2017-12-30 16:41:00,12199.99,12199.99,12092.27,12100.0,104.6638886,valley,0 days 00:03:00
1D,2017-12-30 16:44:00,12092.27,12119.08,12050.0,12119.08,72.3274533,valley,6 days 16:44:00
1min,2017-12-30 16:46:00,12160.0,12288.28,12139.06,12288.28,46.34946235,peak,0 days 00:02:00
5min,2017-12-30 16:49:00,12299.16,12336.24,12290.0,12336.24,24.71905654,peak,0 days 00:12:00
1min,2017-12-30 16:51:00,12309.31,12329.93,12250.01,12314.0,20.07323341,valley,0 days 00:03:00
1min,2017-12-30 16:54:00,12319.9,12320.0,12245.71,12300.0,5.14297328,peak,0 days 00:03:00
1min,2017-12-30 16:54:00,12319.9,12320.0,12245.71,12300.0,5.14297328,valley,0 days 00:02:00
5min,2017-12-30 16:56:00,12255.0,12273.02,12139.06,12200.03,16.16996047,valley,0 days 00:11:00
1min,2017-12-30 16:58:00,12292.59,12313.24,12250.01,12297.89,30.9687732,peak,0 days 00:04:00
1min,2017-12-30 16:59:00,12297.9,12300.0,12228.19,12299.69,7.59449781,valley,0 days 00:02:00
5min,2017-12-30 17:09:00,12460.06,12491.21,12442.84,12491.21,32.70510163,peak,0 days 00:07:00
5min,2017-12-30 17:13:00,12410.0,12462.08,12360.17,12432.64,6.05058715,valley,0 days 00:09:00
1min,2017-12-30 17:15:00,12491.21,12491.21,12410.0,12489.5,15.26732739,valley,0 days 00:02:00
5min,2017-12-30 17:19:00,12531.3,12553.75,12510.41,12523.21,9.81899353,peak,0 days 00:08:00
1min,2017-12-30 17:21:00,12511.28,12553.75,12505.23,12550.0,5.63747447,valley,0 days 00:02:00
5min,2017-12-30 17:25:00,12532.98,12532.98,12458.67,12527.4,14.60442003,valley,0 days 00:10:00
15min,2017-12-30 17:27:00,12553.75,12585.13,12551.94,12551.94,12.18072839,peak,0 days 00:16:00
5min,2017-12-30 17:30:00,12580.32,12585.13,12555.03,12585.13,5.00077242,peak,0 days 00:13:00
5min,2017-12-30 17:32:00,12555.0,12572.8,12520.01,12566.87,15.21765055,valley,0 days 00:06:00
1min,2017-12-30 17:33:00,12573.44,12584.95,12530.26,12550.0,6.38054813,peak,0 days 00:02:00
1min,2017-12-30 17:34:00,12550.0,12551.94,12520.4,12551.94,5.44646153,valley,0 days 00:02:00
