timeframe,date,open,close,low,high,volume,ATR
1min,2017-10-06 04:17:00,4319.23,4312.26,4312.26,4319.24,1.014012,3.0860038397230363
1min,2017-10-06 04:18:00,4314.56,4315.01,4314.56,4315.01,6.50603,3.062003565457105
1min,2017-10-06 04:19:00,4315.01,4315.01,4315.01,4315.01,0.0,2.8432890250673117
1min,2017-10-06 04:20:00,4315.58,4315.58,4315.58,4315.58,0.00793077,2.680911237562483
1min,2017-10-06 04:21:00,4315.58,4315.58,4315.58,4315.58,0.44123299,2.4894175777365914
1min,2017-10-06 04:22:00,4315.58,4315.58,4315.58,4315.58,0.0,2.3116020364696923
1min,2017-10-06 04:23:00,4315.58,4315.58,4315.58,4315.58,0.41872619,2.1464876052932857
1min,2017-10-06 04:24:00,4315.58,4315.58,4315.58,4315.58,0.05316087,1.993167062058051
1min,2017-10-06 04:25:00,4315.3,4315.3,4315.3,4315.3,0.5,1.8707979861967434
1min,2017-10-06 04:26:00,4315.35,4315.35,4315.35,4315.35,0.01,1.740740987182703
1min,2017-10-06 04:27:00,4315.58,4315.0,4315.0,4315.58,3.68628852,1.6578309166696477
1min,2017-10-06 04:28:00,4317.52,4315.03,4315.03,4317.53,0.41484706,1.7201287083360832
1min,2017-10-06 04:29:00,4317.54,4317.54,4317.54,4317.54,0.21486309,1.776548086312093
1min,2017-10-06 04:30:00,4315.08,4315.0,4315.0,4315.08,7.77163649,1.8310803658612265
1min,2017-10-06 04:31:00,4316.2,4316.21,4316.2,4316.21,0.21492734,1.786717482585427
1min,2017-10-06 04:32:00,4316.2,4312.87,4312.87,4316.21,1.38547836,1.8976662338293355
1min,2017-10-06 04:33:00,4316.2,4308.58,4308.58,4316.2,3.42182522,2.306404359984375
1min,2017-10-06 04:34:00,4308.51,4306.09,4305.05,4316.17,2.62969317,2.935946905699769
1min,2017-10-06 04:35:00,4310.12,4312.91,4310.12,4315.8,3.93218836,3.419807841006931
1min,2017-10-06 04:36:00,4312.91,4315.8,4310.17,4315.8,0.44847587,3.5776787095064435
1min,2017-10-06 04:37:00,4310.18,4310.0,4310.0,4310.18,19.8723,3.7364159445417107
1min,2017-10-06 04:38:00,4310.18,4310.64,4310.18,4314.32,0.10536748,3.7781005199315674
1min,2017-10-06 04:39:00,4310.64,4314.12,4310.64,4316.99,3.00903764,3.961807625650702
1min,2017-10-06 04:40:00,4314.12,4309.08,4309.08,4318.45,0.59238828,4.348107080961358
1min,2017-10-06 04:41:00,4312.29,4314.91,4312.29,4314.91,1.4303065,4.453956575178399
1min,2017-10-06 04:42:00,4314.91,4314.35,4314.32,4314.91,1.83591774,4.177959676951381
1min,2017-10-06 04:43:00,4314.35,4314.1,4314.1,4314.35,0.31504282,3.8973911285977105
1min,2017-10-06 04:44:00,4314.11,4314.86,4314.11,4314.86,0.69913634,3.6732917622692534
1min,2017-10-06 04:45:00,4314.92,4314.92,4314.92,4314.92,0.013244,3.4151994935357637
1min,2017-10-06 04:46:00,4314.22,4313.7,4313.7,4316.38,0.23473292,3.3626852439975154
1min,2017-10-06 04:47:00,4316.38,4316.38,4316.38,4316.38,0.21491851,3.313922012283428
