timeframe,date,open,close,high,low,volume
1min,2023-10-23 18:38:00,30979.1,30994.3,30994.3,30976.0,1.26601002
1min,2023-10-23 18:39:00,30994.3,31005.0,31005.0,30994.3,0.40489354
1min,2023-10-23 18:40:00,31004.9,30982.5,31005.0,30982.5,1.77100461
5min,2023-10-23 18:40:00,31004.9,30857.1,31005.0,30721.9,74.38384719000001
1min,2023-10-23 18:41:00,30982.5,30994.6,30994.6,30974.7,1.19050653
1min,2023-10-23 18:42:00,30995.5,30974.5,30997.9,30973.2,1.79796338
1min,2023-10-23 18:43:00,30974.6,30971.7,30982.5,30971.2,3.21993149
1min,2023-10-23 18:44:00,30971.8,30857.1,30989.5,30721.9,66.40444118
15min,2023-10-23 18:45:00,30856.4,31179.2,31187.5,30768.6,273.73866742
1min,2023-10-23 18:45:00,30856.4,30789.1,30868.4,30768.6,47.20824215
5min,2023-10-23 18:45:00,30856.4,31002.4,31013.0,30768.6,165.35918795
1min,2023-10-23 18:46:00,30794.8,30871.0,30953.1,30770.5,39.44291287
1min,2023-10-23 18:47:00,30868.7,30985.3,31013.0,30868.7,44.416603
1min,2023-10-23 18:48:00,30984.2,30974.3,31004.3,30940.3,20.52162989
1min,2023-10-23 18:49:00,30979.0,31002.4,31006.0,30947.4,13.76980004
1min,2023-10-23 18:50:00,31002.5,31123.5,31187.0,30997.0,18.48577052
5min,2023-10-23 18:50:00,31002.5,31116.2,31187.0,30997.0,80.82692218
1min,2023-10-23 18:51:00,31127.4,31098.6,31150.1,31088.4,45.76035168
1min,2023-10-23 18:52:00,31098.7,31081.4,31098.7,31079.7,4.84583141
1min,2023-10-23 18:53:00,31081.5,31119.8,31145.2,31081.4,8.04954633
1min,2023-10-23 18:54:00,31119.9,31116.2,31130.5,31100.6,3.68542224
1min,2023-10-23 18:55:00,31116.4,31159.4,31187.5,31116.4,6.27541161
5min,2023-10-23 18:55:00,31116.4,31179.2,31187.5,31106.5,27.55255729
1min,2023-10-23 18:56:00,31159.5,31114.9,31167.3,31106.5,4.83269328
1min,2023-10-23 18:57:00,31115.1,31124.8,31140.1,31112.9,4.21682611
1min,2023-10-23 18:58:00,31127.1,31138.9,31149.2,31107.8,4.13891286
1min,2023-10-23 18:59:00,31143.7,31179.2,31179.2,31123.7,8.08871343
15min,2023-10-23 19:00:00,31176.6,31261.0,31383.1,31168.1,128.46597398
1H,2023-10-23 19:00:00,31176.6,31355.8,31425.0,31082.1,312.26468993000003
1min,2023-10-23 19:00:00,31176.6,31223.1,31256.2,31168.1,11.96275305
5min,2023-10-23 19:00:00,31176.6,31343.4,31383.1,31168.1,82.34414996000001
1min,2023-10-23 19:01:00,31223.2,31291.1,31355.0,31213.7,32.24597473
1min,2023-10-23 19:02:00,31291.0,31351.4,31359.4,31249.9,16.57088893
1min,2023-10-23 19:03:00,31348.4,31308.1,31357.2,31304.4,7.64516022
1min,2023-10-23 19:04:00,31308.7,31343.4,31383.1,31305.5,13.91937303
