timeframe,date,bull_bear_side,end,internal_high,high_time,internal_low,low_time,movement,atr,movement_start_value,movement_end_value,movement_start_time,movement_end_time
1min,2023-11-16 06:40:00+00:00,SIDE_TREND,2023-11-16 06:43:00+00:00,37479.2,2023-11-16 06:40:00+00:00,37443.2,2023-11-16 06:42:00+00:00,36.0,12.104711135318851,,,,
1min,2023-11-16 06:43:00+00:00,BEARISH_TREND,2023-11-16 06:44:00+00:00,37482.0,2023-11-16 06:43:00+00:00,37440.0,2023-11-16 06:43:00+00:00,42.0,12.142889931168185,37482.0,37440.0,2023-11-16 06:39:00+00:00,2023-11-16 06:46:00+00:00
1min,2023-11-16 06:44:00+00:00,SIDE_TREND,2023-11-16 06:46:00+00:00,37466.9,2023-11-16 06:44:00+00:00,37448.1,2023-11-16 06:45:00+00:00,18.80000000000291,11.673863178163497,,,,
15min,2023-11-16 06:45:00+00:00,SIDE_TREND,2023-11-16 07:15:00+00:00,37616.3,2023-11-16 07:00:00+00:00,37440.0,2023-11-16 06:45:00+00:00,176.3000000000029,101.23589285340267,,,,
1min,2023-11-16 06:46:00+00:00,BULLISH_TREND,2023-11-16 07:03:00+00:00,37616.3,2023-11-16 07:00:00+00:00,37440.0,2023-11-16 06:46:00+00:00,176.3000000000029,11.920750806166069,37440.0,37616.3,2023-11-16 06:46:00+00:00,2023-11-16 07:04:00+00:00
1min,2023-11-16 07:03:00+00:00,SIDE_TREND,2023-11-16 07:05:00+00:00,37616.3,2023-11-16 07:04:00+00:00,37546.7,2023-11-16 07:03:00+00:00,69.60000000000582,15.367451872931223,,,,
1min,2023-11-16 07:05:00+00:00,BEARISH_TREND,2023-11-16 07:24:00+00:00,37616.3,2023-11-16 07:05:00+00:00,37463.3,2023-11-16 07:21:00+00:00,153.0,16.002803288928312,37616.3,37463.3,2023-11-16 07:04:00+00:00,2023-11-16 07:24:00+00:00
5min,2023-11-16 07:05:00+00:00,SIDE_TREND,2023-11-16 07:40:00+00:00,37616.3,2023-11-16 07:05:00+00:00,37463.3,2023-11-16 07:20:00+00:00,153.0,46.585489449170794,,,,
15min,2023-11-16 07:15:00+00:00,BEARISH_TREND,2023-11-16 09:15:00+00:00,37616.3,2023-11-16 07:15:00+00:00,37187.9,2023-11-16 09:00:00+00:00,428.40000000000146,99.60846080008767,37616.3,37187.9,2023-11-16 07:04:00+00:00,2023-11-16 09:08:00+00:00
1min,2023-11-16 07:24:00+00:00,SIDE_TREND,2023-11-16 07:36:00+00:00,37530.2,2023-11-16 07:30:00+00:00,37463.3,2023-11-16 07:24:00+00:00,66.89999999999418,15.070296012884086,,,,
1min,2023-11-16 07:36:00+00:00,BULLISH_TREND,2023-11-16 07:39:00+00:00,37531.5,2023-11-16 07:38:00+00:00,37477.2,2023-11-16 07:36:00+00:00,54.30000000000291,16.405839683880874,37477.2,37531.5,2023-11-16 07:36:00+00:00,2023-11-16 07:38:00+00:00
1min,2023-11-16 07:39:00+00:00,SIDE_TREND,2023-11-16 07:42:00+00:00,37531.5,2023-11-16 07:39:00+00:00,37498.1,2023-11-16 07:41:00+00:00,33.400000000001455,15.546220767305911,,,,
5min,2023-11-16 07:40:00+00:00,BEARISH_TREND,2023-11-16 08:55:00+00:00,37616.3,2023-11-16 07:40:00+00:00,37187.9,2023-11-16 08:25:00+00:00,428.40000000000146,49.9663439736148,37616.3,37187.9,2023-11-16 07:04:00+00:00,2023-11-16 09:08:00+00:00
1min,2023-11-16 07:42:00+00:00,BEARISH_TREND,2023-11-16 07:51:00+00:00,37531.5,2023-11-16 07:45:00+00:00,37432.0,2023-11-16 07:49:00+00:00,99.5,14.635989126936693,37531.5,37432.0,2023-11-16 07:38:00+00:00,2023-11-16 07:52:00+00:00
1min,2023-11-16 07:51:00+00:00,SIDE_TREND,2023-11-16 07:53:00+00:00,37466.9,2023-11-16 07:51:00+00:00,37432.0,2023-11-16 07:52:00+00:00,34.900000000001455,16.535261436900328,,,,
1min,2023-11-16 07:53:00+00:00,BULLISH_TREND,2023-11-16 07:56:00+00:00,37483.2,2023-11-16 07:55:00+00:00,37432.0,2023-11-16 07:53:00+00:00,51.19999999999709,16.134364746529737,37432.0,37483.2,2023-11-16 07:52:00+00:00,2023-11-16 07:55:00+00:00
1min,2023-11-16 07:56:00+00:00,SIDE_TREND,2023-11-16 07:58:00+00:00,37479.0,2023-11-16 07:56:00+00:00,37443.0,2023-11-16 07:57:00+00:00,36.0,16.65672148266154,,,,
1min,2023-11-16 07:58:00+00:00,BEARISH_TREND,2023-11-16 08:02:00+00:00,37483.2,2023-11-16 08:01:00+00:00,37424.7,2023-11-16 07:58:00+00:00,58.5,15.648031609979459,37483.2,37424.7,2023-11-16 07:55:00+00:00,2023-11-16 08:07:00+00:00
